id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic
1347076652,Ame Brink,Brinksknowsbett,"Yokosuka, Japan, Tokyo",FALSE,"Graphic Designer, and Digital Media artist.",11,25,0,4/12/2013 15:28,743,,FALSE,366,en,cnn
277049262,Leslea,lesleasays,"Wichita, KS",FALSE,Just a person with questions and opinions. Some wrong some right. Liberal and lots of interests! Worked in EMS 30+ yrs RT doesn't mean I agree with it! #resist,999,4130,13,4/4/2011 16:04,15893,,FALSE,25930,en,cnn
7.46346E+17,JeffDavidson #OMC_H,JeffreyMDavids1,"South Carolina, USA",FALSE,"American. I believe in Freedom, Justice, and lifting heavy. I wanna be like my Uncle Sam when I grow up. #DeusVult",1462,1158,33,6/24/2016 14:13,133868,,FALSE,80871,en,cnn
7.31844E+17,EXPOSED: RYAN ZINKE,RaptorsUniverse,"New York, USA",FALSE,REVEALED: Wildlife protection board is stacked with trophy hunters - many tied with Donald Trump Jr. - who have power to rewrite rules for importing animal head,201,954,12,5/15/2016 13:50,4468,,FALSE,11158,en,cnn
172883388,Pat 🇺🇸,FreePat62,United States,FALSE,Love of country. The Persistence. Proud mom and wife. Immigrant. Conservative. Patriot. Deplorable. Trump is my President #MAGA. #draintheswamp #crumbs,1646,423,67,7/30/2010 21:23,14641,,FALSE,124083,en,cnn
8.60691E+17,The Gray Alien 👽,The_Gray_Alien,Somewhere on Earth... for now,FALSE,Greetings Humans! I'm an alien from the Aldebaran solar system. I'm an openly trans-solar YouTuber. https://t.co/Ru4JpjdX2k,112,260,1,5/6/2017 3:01,1872,,FALSE,2258,en,cnn
8.26524E+17,Deep Eddy,DeepEddy23,,FALSE,,1,45,0,1/31/2017 20:15,10,,FALSE,144,en,cnn
943181,Jeff (Tick Tock Trump),redbeard36,Soaking in Seattle,FALSE,Allowed in malls since 1961.,207,275,11,3/11/2007 18:34,5877,,FALSE,16959,en,cnn
544735156,Anna Maria,AnnaMariaMari10,,FALSE,,215,91,17,4/4/2012 1:20,12714,,FALSE,23416,en,cnn
30479589,Terri Perry,MyKidsHavePaws,Florida,FALSE,"I'm proud pet parent & advocate for animal rights! They're totally dependent, we ARE their voice! 

I HATE PEOPLE who hurt animals & I HATE LIARS!
#RESISTANCE",2381,5001,74,4/11/2009 16:57,3266,,FALSE,74633,en,cnn
201539771,travis tenn,wasteurtimetwit,,FALSE,,81,89,1,10/12/2010 2:19,17540,,FALSE,11086,en,cnn
548217084,Adam M,AdamMuller7,New York City,FALSE,"Non-Practicing Lawyer, Semi-Practicing Jew, general all-around smart-ass, lover of cruises, comedy enthusiast, dog addict!",159,1209,1,4/8/2012 4:24,3722,,FALSE,6602,en,cnn
9.17153E+17,Nick,DefaultNu,,FALSE,,8,134,1,10/8/2017 22:20,938,,FALSE,1308,en,cnn
604460550,Psyberus,Psyberus,,FALSE,,261,371,5,6/10/2012 9:48,6281,,FALSE,11831,en,cnn
3725831532,Kelli Miller,1206geauxtigers,"Louisiana, USA",FALSE,Mother to the most amazing kid in the world. Hoping to survive this mess called Trump. Figuring out everything in between. #Resist #FBR,1767,1598,30,9/29/2015 12:55,77117,,FALSE,56454,en,cnn
201539771,travis tenn,wasteurtimetwit,,FALSE,,81,89,1,10/12/2010 2:19,17540,,FALSE,11087,en,cnn
2231259930,Nic Dressen,mnsports3,Elk River Minnesota,FALSE,Die Hard MN sports fan,191,1360,8,12/5/2013 10:15,35241,,FALSE,19671,en,cnn
2393525323,Niffer,SarcasticNiffer,,FALSE,"🤗

#timemurderer",8,18,0,3/17/2014 1:09,191,,FALSE,262,en,cnn
9.36824E+17,AJ Smith,KABennett4,"Shithole, USA",FALSE,"Baseball, Government & Politics, Sports commentary",34,516,0,12/2/2017 5:07,713,,FALSE,353,en,cnn
9.36824E+17,AJ Smith,KABennett4,"Shithole, USA",FALSE,"Baseball, Government & Politics, Sports commentary",34,516,0,12/2/2017 5:07,713,,FALSE,353,en,cnn
343805647,President SlapNuts,Dunn_Mark,,FALSE,"I call out BS when I'm not enjoying my Leafs, Jays and Saints. Atheist so pray for me because I won’t. #Resist",2246,2294,4,7/28/2011 3:17,8972,,FALSE,5760,en,cnn
8.98236E+17,Je Cz,JreChz,Somewhere in Texas,FALSE,"Husband, public servant, and loyal to only one Leader - and he ain't down here._
_
_
We all know the truth: more connects us than separates us. - T'Challa",37,77,1,8/17/2017 17:32,2821,,FALSE,4993,en,cnn
200983203,Frank Esposito 🙃,FBEsposito,"Brooklyn, NY",FALSE,Opinions are my own,1097,604,44,10/10/2010 19:56,11106,,FALSE,20324,en,cnn
232025596,CDCT,coop1056,"Charleston, SC",FALSE,"#MAGA Mom of 3, happily married! Trump is my President!!!",1775,1182,5,12/30/2010 2:38,19484,,FALSE,6293,en,cnn
391296279,Bernd Heuser,Bernd_Heuser,"Wiesbaden, Germany",FALSE,,29,100,0,10/15/2011 10:45,3088,,FALSE,1922,de,cnn
175111392,DallasDrilling,DallasDrilling,"Dallas, TX",FALSE,Sharing the latest news and info with Dallas area residents concerned with getting drilled in Dallas. And we don't mean only gas.,1144,571,38,8/5/2010 17:29,3776,,FALSE,9094,en,cnn
1423485654,Kurt Krenmayer,kurt_kren,,FALSE,,25,80,1,5/12/2013 16:24,389,,FALSE,1130,en,cnn
993116078,George Nickel,slpgn97,,FALSE,,42,126,0,12/6/2012 13:52,192,,FALSE,11275,en,cnn
