tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,57113074,harplover,Yeah they do this every protest! I used to have a pic of 1 of the ads,3/26/2018 4:08,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,495021290,Sheilas11,Great find!!! ,3/25/2018 15:29,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.00E+17,unclescorpie,"Once again, caught red-handed",3/26/2018 20:40,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.02E+17,RobinPa77,@chucktodd @JoeNBC @SavannahGuthrie @GStephanopoulos @Lawrence @donlemon ( whore promoter) @brianstelter @AC360 @JohnKingCNN @wolfblitzer @Acosta @HARRISFAULKNER @trish_regan,3/26/2018 0:56,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,397488806,angelstarfl7,Thanks for sharing that truth needs to come out!,3/25/2018 13:50,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,412728468,brittshow,You’re a moron.,3/26/2018 2:49,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,539453078,TCribby,That explains why many at tge event were so clueless about that they were there for. Define assault weapons...Ahhhhhhh,3/26/2018 11:51,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,3324009111,sherrypool48,"Interesting they can be bought, $$$ that’s what it is all about.",3/25/2018 19:18,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,239205857,Dennis_Falsetti,"@jack @Twitter @TwitterSupport This is exactly the type of damaging, destructive spread of misinformation that inspires violent acts and will only hasten the demise of Social Media.
Please, please...please help us out here.",3/25/2018 14:15,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,14151179,jo5h,Paid to sell t-shirts you jackbooted moron. They’re looking for people to SELL MERCHANDISE - it says it right there in the ad.,3/26/2018 0:24,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,388190869,PennylessChurch,"Help me out here, do the math... I lost count.",3/25/2018 14:59,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.83E+17,MI_4_TRUMP,"As interesting as this is, they are looking for vendors to sell anti gun trash... Not the same as hired protestors, but I bet that listing was out there as well. #MAGA",3/25/2018 17:51,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,4431639255,CMontyBurnsIII,"If anyone knows about fraudulent online posts, it's Jacob.",3/25/2018 17:12,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1416236905,geo_vein,Do you not realize that anyone could have posted this? For Christ’s sake it’s Craigslist. Propaganda from Putin’s boyfriend ....,3/26/2018 1:37,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,363737017,Ferniewap,Imagine being this stupid,3/25/2018 13:55,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,23782377,telepastor,Merchandising a protest. Ain’t America great? That’s not exactly paying the protestors but hey somebodies gotta make a buck.,3/25/2018 23:16,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,293345072,colton_burton,I’m this clearly states they’re looking for merch salespeople... who the fuck is this guy and what stupid hole did he crawl out of... #MarchForOurLivesLA,3/25/2018 17:28,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,719188219,aaa111333zzz,"IN OTHER WORDS, THEY'RE NOTHING BUT CHILD PROSTITUTES, BEING PAID TO SERVICE BARACK OBAMA AND GEORGE SOROS???

ISN'T  THAT ILLEGAL???",3/26/2018 6:32,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.14E+17,wisecc1,Who paid? SHOULD BE ILLEGAL!,3/26/2018 13:37,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,17170176,PenWize,"@JacobWohl HAHAHAHA just like trump, you have zero comprehendion skills. HAHAHA",3/26/2018 3:39,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
